GameName,Id:76561198048511278
Team Fortress 2,482
Monster Hunter: World,381
Counter-Strike: Global Offensive,103
Risk of Rain,91
Borderlands 2,80
Don't Starve,62
PAYDAY: The Heist,59
BioShock Infinite,54
Deus Ex: Human Revolution,50
Assassin's Creed II,48
Metro: Last Light,47
The Talos Principle,45
PAYDAY 2,42
Garry's Mod,39
PROTOTYPE 2,39
Fallout: New Vegas,39
Assassin's Creed Brotherhood,35
Borderlands GOTY,35
Don't Starve Together,35
This War of Mine,28
Half-Life 2,25
The Binding of Isaac,25
Assassin's Creed Revelations,24
Portal 2,24
Life is Strange¢â,22
The Walking Dead,21
Unturned,21
Wolfenstein: The Old Blood ,20
BioShock Remastered,19.6
BioShock 2 Remastered,18.5
Tom Clancy's Rainbow Six Siege,18.4
Undertale,18.2
Metro 2033 Redux,18.2
Counter-Strike: Source,18.2
Return of the Obra Dinn,17.8
Wolfenstein: The New Order,17.7
Dead Island,16.7
Rise of the Tomb Raider,15.8
Left 4 Dead 2,15.4
Alan Wake,15.1
Dead Rising 2,15.1
Clicker Heroes,15.0
ibb & obb,13.8
BioShock,13.1
Tomb Raider,12.4
Mark of the Ninja,11.8
Spec Ops: The Line,11.5
BioShock 2,11.2
Quantum Break,11.2
L.A. Noire,10.8
Call of Juarez Gunslinger,10.6
The Wolf Among Us,10.5
DOOM,9.1
Half-Life 2: Episode Two,9.0
BRINK,9.0
The Walking Dead: Season Two,8.8
Metro 2033,8.6
Castle Crashers,8.6
Terraria,8.4
Hidden Folks,7.5
Sanctum 2,6.8
Midnight Mysteries 3: Devil on the Mississippi,6.6
Darksiders,6.6
Little Inferno,6.0
Mark of the Ninja: Remastered,5.7
Space Farmers,5.7
RPG Maker VX Ace,5.6
F.E.A.R.,5.6
Deadly 30,5.5
Portal,5.4
MURDERED: SOUL SUSPECT¢â,5.2
Midnight Mysteries 4: Haunted Houdini,5.2
DiRT Showdown,5.1
Serious Sam 3: BFE,4.9
To the Moon,4.9
F.E.A.R. 3,4.9
Braid,4.9
Outlast,4.6
Grand Theft Auto IV: The Complete Edition,4.6
Viscera Cleanup Detail: Shadow Warrior,4.3
LIMBO,4.3
Medal of Honor(TM) Single Player,4.2
Killing Floor,4.2
Amnesia: The Dark Descent,4.1
Deadlight,4.1
House of 1 000 Doors - Family Secrets,4.0
Among the Sleep,4.0
Midnight Mysteries: Salem Witch Trials,3.8
The Stanley Parable,3.8
XCOM: Enemy Unknown,3.6
3089 -- Futuristic Action RPG,3.4
Papo & Yo,3.4
Half-Life 2: Episode One,3.4
Mirror's Edge,3.3
Brothers - A Tale of Two Sons,3.1
Gorogoa,3.0
Dear Esther: Landmark Edition,3.0
Dark Sector,2.8
Papers  Please,2.7
The Whispered World,2.6
Cubemen,2.5
Awesomenauts,2.5
Hitman: Codename 47,2.4
Hitman: Absolution,2.3
Insurgency,2.3
FEZ,2.3
House of 1000 Doors: The Palm of Zoroaster Collector's Edition,2.3
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,2.2
Sniper Elite V2,2.1
Edna & Harvey: Harvey's New Eyes,1.9
Batman: Arkham City GOTY,1.9
Hotline Miami,1.8
Gone Home,1.8
Dungeon Defenders,1.8
Never Alone (Kisima Ingitchuna),1.8
Deus Ex: Human Revolution - The Missing Link,1.8
Little Farm,1.8
Thomas Was Alone,1.7
Rocketbirds: Hardboiled Chicken,1.7
Dear Esther,1.7
LEGO¢ç Worlds,1.6
Super Hexagon,1.5
PLAYERUNKNOWN'S BATTLEGROUNDS,1.5
The Night of the Rabbit,1.5
Black Squad,1.5
Far Cry,1.5
Catlateral Damage,1.4
Helltaker,1.4
Party Jousting,1.3
Antichamber,1.3
A Bird Story,1.3
Red Faction: Armageddon,1.2
realMyst: Masterpiece Edition,1.2
Vector,1.2
Super Meat Boy,1.2
Who's Your Daddy,1.2
Sniper: Ghost Warrior,1.1
Q.U.B.E: Director's Cut,1.1
Brink of Consciousness: Dorian Gray Syndrome,1.0
Proteus,1.0
Return to Mysterious Island,0.9
Reus,0.9
Hatred,0.9
Shadow Warrior,0.8
Borderlands: The Pre-Sequel,0.8
S.T.A.L.K.E.R.: Call of Pripyat,0.8
Fausts Alptraum,0.7
Hacker Evolution Duality,0.7
S.T.A.L.K.E.R.: Shadow of Chernobyl,0.7
Half-Life 2: Lost Coast,0.6
Surgeon Simulator,0.5
Gunpoint,0.5
Just Cause 2,0.5
Afterfall InSanity Extended Edition,0.5
Zeno Clash 2,0.5
Hitman: Sniper Challenge,0.4
Gomo,0.4
The Swapper,0.4
Hitman: Blood Money,0.4
System Shock 2,0.4
Hard Reset,0.4
Dead Effect,0.4
Sniper Elite,0.3
Dead Mountaineer's Hotel,0.3
Joe Danger 2: The Movie,0.3
12 is Better Than 6,0.3
Source Filmmaker,0.3
9.03m,0.3
S.T.A.L.K.E.R.: Clear Sky,0.3
Sine Mora,0.3
Layers of Fear,0.2
Syberia,0.2
Metro: Last Light Redux,0.2
Lovely Planet,0.2
Ace of Spades,0.2
Cry of Fear,0.2
Dustforce,0.1

Recently Played
Return to Mysterious Island,0.9
The Night of the Rabbit,0.7

Badges,Games,Inventory,Screenshots,Reviews,Groups,Friends,Wishlist
18,377,0,116,15,3,72,23
